Data;Hora UTC;PRECIPITAO TOTAL. HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREO HORARIA (gr) ( (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s)
01/01/2023;0000 UTC;0;1017.5;1017.5;1016.8;;25;21.6;25.5;25;21.6;21.3;81;78;81;347;3.3;0.8
01/01/2023;0100 UTC;0;1017.7;1017.9;1017.5;;24.1;22.2;25;24.1;22.2;21.5;89;81;89;339;2;0.6
01/01/2023;0200 UTC;0;1017.2;1017.7;1017.2;;24.3;21.7;24.5;24.1;22.3;21.7;89;85;86;343;2.7;0.9
01/01/2023;0300 UTC;0;1016.7;1017.2;1016.6;;24.6;21.1;24.7;24.2;22;21.1;87;81;81;328;2.6;0.6
01/01/2023;0400 UTC;0;1016;1016.7;1016;;23.5;21.9;24.6;23.5;21.9;21.1;90;81;90;315;1.5;0.5
01/01/2023;0500 UTC;0;1015.4;1016;1015.4;;23.3;21.8;23.6;23.3;22.1;21.8;91;90;91;332;1.9;0.2
01/01/2023;0600 UTC;0;1015;1015.4;1014.9;;23.3;22.1;23.3;22.9;22.1;21.6;93;91;93;14;2.4;0.8
01/01/2023;0700 UTC;0;1015.1;1015.1;1014.8;;23.5;21.9;24;23.3;22.5;21.9;93;90;91;302;2.9;1
01/01/2023;0800 UTC;0;1015.6;1015.6;1015.1;;23;21.4;23.5;23;21.9;21.4;91;90;90;311;2.5;0.6
01/01/2023;0900 UTC;0;1016;1016;1015.6;46;23.2;21.8;23.2;22.9;21.8;21.3;92;90;92;323;1.5;0.5
01/01/2023;1000 UTC;0;1016.7;1016.7;1016;270.9;24.8;22;24.8;23.2;22.4;21.8;92;85;85;328;1.7;0.6
01/01/2023;1100 UTC;0;1017.2;1017.2;1016.7;931.3;28.1;21.5;28.1;24.8;23.1;21.4;85;67;68;318;2.8;1.2
01/01/2023;1200 UTC;0;1017;1017.2;1017;1149.7;27.9;20.1;28.1;27.2;21.9;20.1;72;63;63;354;5.2;1.8
01/01/2023;1300 UTC;0;1016.6;1017;1016.6;1138.8;27.8;20.7;27.9;27.5;21;20;67;62;65;20;5.3;2.1
01/01/2023;1400 UTC;0;1016.2;1016.6;1016.2;1238.1;28.3;20.6;29.1;27.8;21.4;19.8;67;58;63;46;6.4;2.2
01/01/2023;1500 UTC;0;1015.8;1016.2;1015.8;1175.8;27.7;20.9;28.3;27.6;21.4;20.5;68;63;66;54;6.6;2.9
01/01/2023;1600 UTC;0;1015.5;1015.8;1015.4;435.8;27;21.1;27.7;26.7;21.3;20.5;71;66;70;39;6.6;2.4
01/01/2023;1700 UTC;0;1015;1015.6;1015;893;27.3;20.9;27.3;27;21.2;20.4;71;66;68;57;7.8;2.5
01/01/2023;1800 UTC;0;1014.7;1015;1014.6;476.5;26.8;21.5;27.3;26.6;21.5;20.7;73;68;73;49;8.1;2.4
01/01/2023;1900 UTC;0;1014.5;1014.7;1014.3;903.9;27;20.8;27.5;26.8;21.8;20.4;74;67;69;47;8.2;3.2
01/01/2023;2000 UTC;0;1014.8;1014.8;1014.4;357.1;26.4;21.2;27.1;26.4;21.2;20.8;73;69;73;60;7.3;2.6
01/01/2023;2100 UTC;0;1015.4;1015.6;1014.8;100.2;26.1;21;26.4;26.1;21.2;21;73;73;73;54;5;1.5
01/01/2023;2200 UTC;0;1015.5;1015.6;1015.4;0.7;25.7;21;26.2;25.7;21.1;20.9;76;73;75;28;4.6;1.1
01/01/2023;2300 UTC;0;1015.8;1015.8;1015.5;;25;21.2;25.7;24.9;21.2;21;80;75;79;356;3.2;0.9
02/01/2023;0000 UTC;0;1016.9;1016.9;1015.8;;24.8;21.5;25.1;24.6;21.5;21.1;83;79;82;358;2.2;0.6
02/01/2023;0100 UTC;0;1017.4;1017.5;1016.9;;25;21.3;25.3;24.6;21.5;21.2;82;78;80;45;2.5;0.7
02/01/2023;0200 UTC;0;1017;1017.6;1017;;24.9;21.6;25;24.5;22;21.3;85;80;82;1;3.6;1
02/01/2023;0300 UTC;0;1016.2;1017;1016.2;;24;22.2;24.9;24;22.2;21.5;90;82;90;315;3.6;0.7
02/01/2023;0400 UTC;0;1015.5;1016.2;1015.5;;23.7;22.4;24;23.7;22.4;22.2;93;90;93;306;1.6;0.6
02/01/2023;0500 UTC;0;1014.6;1015.5;1014.6;;23.6;22.5;23.7;23.6;22.6;22.4;94;93;94;325;2.1;0.7
02/01/2023;0600 UTC;0.2;1013.5;1014.6;1013.5;;23.4;22.5;23.6;23.4;22.5;22.5;94;94;94;344;2.9;0.9
02/01/2023;0700 UTC;0.4;1012.2;1013.5;1012.2;;23.4;22.3;23.4;22.8;22.4;21.8;94;94;94;348;6.4;2.1
02/01/2023;0800 UTC;0;1014;1014;1011.3;;23.4;21.5;23.7;23.2;22.3;21.3;94;89;89;236;7.6;1.6
02/01/2023;0900 UTC;0;1015.1;1015.1;1014;33.6;23.2;21.8;23.7;23.1;21.8;21.2;92;87;92;263;5.4;0.6
02/01/2023;1000 UTC;0;1015.4;1015.4;1015;151.1;24.3;22.7;24.3;23.2;22.7;21.8;92;91;91;344;1.5;0.2
02/01/2023;1100 UTC;0;1015.9;1016;1015.4;485.7;25.9;21.6;26;24.2;22.7;20.7;91;74;77;146;1.6;0.3
02/01/2023;1200 UTC;0;1016.1;1016.1;1015.8;970.6;27.4;20.6;27.6;25.9;22;20.1;77;65;67;360;2.8;1
02/01/2023;1300 UTC;0;1016;1016.2;1016;1177.5;27;20.7;27.5;26.4;21;19.3;71;62;69;123;3.2;1.3
02/01/2023;1400 UTC;4.4;1016.1;1016.2;1015.8;787.9;23.6;22.2;27;23.5;22.2;20.6;92;69;92;154;4.8;1.4
02/01/2023;1500 UTC;0;1015.6;1016.2;1015.4;2448.6;25.3;20.4;26.1;23.6;23.2;20.3;93;72;74;85;8.3;3.5
02/01/2023;1600 UTC;1.8;1015.1;1015.7;1015.1;1269.4;24.5;22.1;25.4;23.8;22.7;19.8;87;73;87;25;6.7;2.5
02/01/2023;1700 UTC;0.2;1014.4;1015.1;1014.4;807.9;24.2;20.8;24.6;24.1;22.1;19.8;87;75;81;1;6.4;1.5
02/01/2023;1800 UTC;0.8;1013.4;1014.5;1013.4;753.5;24.9;22.3;24.9;23.7;22.6;21;91;81;85;337;4.6;1
02/01/2023;1900 UTC;0;1013.1;1013.4;1012.7;1225.6;26.2;20.3;26.6;24.9;22;20.1;85;70;70;60;6.7;2
02/01/2023;2000 UTC;0;1013;1013.1;1012.7;304.8;25.6;20.5;26.2;25.4;20.7;20.2;75;70;74;17;6;1.6
02/01/2023;2100 UTC;0;1013.1;1013.3;1012.9;182.9;23.6;19.7;25.6;23.6;20.9;19.4;80;72;79;332;5.5;1.7
02/01/2023;2200 UTC;0;1013.7;1013.7;1013.1;20;22.1;19.1;23.6;22.1;19.7;19.1;83;79;83;314;4.3;1.2
02/01/2023;2300 UTC;0;1014.1;1014.2;1013.7;;21.3;19.8;22.1;21.3;19.9;19;91;83;91;322;2.7;0.5
03/01/2023;0000 UTC;0;1014.4;1014.4;1014.1;;20.9;19.7;21.3;20.8;19.9;19.7;93;91;93;352;1.8;0.5
03/01/2023;0100 UTC;0;1014.7;1014.9;1014.4;;21.1;20.1;21.2;20.9;20.2;19.7;94;93;94;322;1.7;0.4
03/01/2023;0200 UTC;0;1014.1;1014.7;1014.1;;21.1;20.1;21.1;20.9;20.1;19.9;94;94;94;204;1.3;0.4
03/01/2023;0300 UTC;0;1013.6;1014.1;1013.6;;21.1;20.2;21.2;21;20.3;20;94;94;94;339;1.7;0.3
03/01/2023;0400 UTC;0;1012.9;1013.6;1012.8;;21.1;20.2;21.4;21;20.4;20.1;95;94;94;208;1.3;0.2
03/01/2023;0500 UTC;0;1012.3;1012.9;1012.3;;21.5;20.7;21.6;20.9;20.7;20;95;94;95;336;3.5;1.1
03/01/2023;0600 UTC;0;1012;1012.3;1012;;21.9;20.8;22.2;21.5;21.3;20.7;95;93;93;340;3.7;0.9
03/01/2023;0700 UTC;0;1012.2;1012.2;1012;;21;20;21.9;21;20.7;20;94;93;94;303;2.4;0.4
03/01/2023;0800 UTC;0;1012.5;1012.5;1012;;21;20.1;21.1;20.9;20.2;19.9;95;94;95;322;2.7;0.8
03/01/2023;0900 UTC;0;1013;1013;1012.5;234.7;24;21.6;24.1;21;22.6;20.1;95;86;86;358;3;1
03/01/2023;1000 UTC;0;1013.6;1013.6;1013;874.3;26.3;19.4;26.5;23.9;21.4;19.4;86;66;66;358;5;1.7
03/01/2023;1100 UTC;0;1013.8;1014;1013.6;1126.7;27.4;19.7;27.4;25.5;19.7;18.7;69;61;63;17;5.3;1.9
03/01/2023;1200 UTC;0;1014.2;1014.2;1013.8;2196.9;27.7;18.1;28.7;27.4;19.3;17.9;63;53;56;20;7.3;2.6
03/01/2023;1300 UTC;0;1014.1;1014.2;1013.9;3069.1;30.3;19.5;30.3;27.6;19.5;17.9;61;50;52;7;8.1;2.7
03/01/2023;1400 UTC;0;1013.7;1014.1;1013.7;3502.6;30.7;19.4;31.3;30;20.2;18.2;55;46;51;14;9.1;2.6
03/01/2023;1500 UTC;0;1013.1;1013.7;1013;3837.5;31.8;19.3;31.8;30.6;20.7;18.3;55;46;48;15;9.1;2.6
03/01/2023;1600 UTC;0;1012.3;1013.1;1012.3;3134;29.8;20.2;31.9;29.7;21.2;19;58;47;57;51;8.6;3.5
03/01/2023;1700 UTC;0;1011.6;1012.3;1011.6;3094.5;29.9;19.9;30.9;29.8;21.5;19.9;60;53;55;28;8.4;3.3
03/01/2023;1800 UTC;0;1010.9;1011.6;1010.9;2857.5;29.5;20.5;30.7;29.3;21.5;19.9;61;54;59;46;9.5;3.5
03/01/2023;1900 UTC;0;1010.1;1010.9;1010.1;2176.1;29.3;20.2;29.6;28.8;20.9;19.6;61;57;58;38;9.3;2.7
03/01/2023;2000 UTC;0;1010.3;1010.3;1009.9;1336;27.9;18.9;29.3;27.8;20.1;18.5;59;54;58;39;10.5;4
03/01/2023;2100 UTC;0;1010.9;1010.9;1010.3;197.3;26.7;20.3;27.9;26.7;20.4;18.9;68;58;68;29;9;2.2
03/01/2023;2200 UTC;0;1011.3;1011.3;1010.9;5.4;25.9;20.3;26.7;25.9;20.3;20.1;71;68;71;10;6.9;2.5
03/01/2023;2300 UTC;0;1012.5;1012.5;1011.3;;25.1;20.5;26;25.1;20.5;20.2;75;71;75;342;7.5;1.4
04/01/2023;0000 UTC;0;1013.2;1013.3;1012.5;;25.7;19.9;25.8;25.1;20.6;19.8;76;70;70;32;6.2;2.5
04/01/2023;0100 UTC;0;1013.5;1013.6;1013.2;;25.9;20;25.9;25.5;20;19.9;71;70;70;12;6.2;2.1
04/01/2023;0200 UTC;0;1013.2;1013.7;1013.2;;25.7;20.6;25.9;25.4;20.6;20;74;70;73;359;6.1;1.6
04/01/2023;0300 UTC;0;1012.3;1013.2;1012.3;;25.5;20.3;25.8;25.3;20.6;20.3;75;73;73;353;5.1;1.3
04/01/2023;0400 UTC;0;1011.2;1012.2;1011.2;;25.6;20;25.7;25.5;20.3;19.8;73;70;71;23;5.9;2
04/01/2023;0500 UTC;0;1010.3;1011.2;1010.3;;25.6;19.8;25.7;25.4;20;19.4;72;69;70;20;8;1.9
04/01/2023;0600 UTC;0;1010.1;1010.4;1010.1;;24.7;20.5;25.6;24.7;20.5;19.8;77;70;77;18;6.4;2.2
04/01/2023;0700 UTC;0;1010.2;1010.2;1009.8;;24.5;20.5;24.7;24.3;20.6;20.5;80;77;79;14;6.4;1.3
04/01/2023;0800 UTC;0;1010.7;1010.7;1010.2;;24.4;19.6;24.5;24.1;20.5;19.6;79;74;74;359;4;1
04/01/2023;0900 UTC;0;1011.5;1011.5;1010.7;192.8;25.7;19.9;25.7;24.4;19.9;19.4;74;70;70;14;5.1;1.7
04/01/2023;1000 UTC;0;1012.4;1012.4;1011.5;1026;27.2;19.9;27.3;25.7;20.1;19.5;70;63;64;21;5.6;2.2
04/01/2023;1100 UTC;0;1012.5;1012.5;1012.3;888.1;27.1;20.8;27.5;26.8;20.8;19.7;69;63;68;16;5.6;1.9
04/01/2023;1200 UTC;0;1012.3;1012.5;1012.2;1830.8;30.2;20.8;30.2;27.1;21.6;20;68;56;57;346;5.9;1.8
04/01/2023;1300 UTC;0;1011.8;1012.3;1011.8;3203.9;31.3;20.1;31.8;29.9;22.5;19.7;59;51;51;10;6.2;1.9
04/01/2023;1400 UTC;0;1011.6;1011.8;1011.6;3652;32.4;20.9;32.5;31;22.3;19.7;58;48;51;4;8.2;2.8
04/01/2023;1500 UTC;0;1010.9;1011.6;1010.9;3849.7;33.1;20.8;33.1;32.1;21.4;19.7;52;46;49;14;9.3;3
