Data;Hora UTC;PRECIPITAO TOTAL. HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREO HORARIA (gr) ( (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s)
01/01/2023;0000 UTC;0;1014;1014;1013;;25.4;19.6;26;25.2;20.1;19.6;73;68;70;115;3.1;0.8
01/01/2023;0100 UTC;0;1013.9;1014.3;1013.9;;25;19.5;25.8;24.5;20.2;19.5;74;69;72;30;1.9;1.2
01/01/2023;0200 UTC;0;1013.5;1013.9;1013.5;;24.3;19.6;25;24.1;19.8;19.3;76;71;75;258;1.7;0.9
01/01/2023;0300 UTC;0;1012.9;1013.7;1012.9;;24.6;18.7;26;24.3;20;18.2;76;63;70;298;6.6;1.8
01/01/2023;0400 UTC;0;1012.7;1013.1;1012.6;;23.2;19.4;24.6;23.1;19.4;18.7;79;70;79;258;5.1;1
01/01/2023;0500 UTC;0;1011.9;1012.7;1011.9;;23.3;18.8;23.7;23.1;19.4;18.6;79;74;76;277;3.4;1.3
01/01/2023;0600 UTC;0;1011.6;1011.9;1011.5;;22.8;18.3;23.6;22.6;18.8;18.3;78;74;76;268;4.5;1.5
01/01/2023;0700 UTC;0;1011.6;1011.7;1011.5;;21.7;18.4;22.8;21.7;18.7;18.2;81;76;81;28;4.2;0.7
01/01/2023;0800 UTC;0;1011.8;1011.8;1011.6;;22.2;18.7;22.2;21.3;18.9;18.4;84;80;81;333;4;1.3
01/01/2023;0900 UTC;0;1012.2;1012.2;1011.8;31.8;22.8;18.5;23.2;22.2;18.7;18.1;81;73;77;223;4;0.9
01/01/2023;1000 UTC;0;1013;1013;1012.2;208.8;23.8;19.4;23.8;22.6;19.4;18.4;79;72;76;249;3.3;1
01/01/2023;1100 UTC;0;1013.2;1013.3;1013;545.4;25.7;19.3;25.7;23.8;19.9;18.9;77;67;68;158;2.8;0.7
01/01/2023;1200 UTC;0;1013.3;1013.3;1013.1;983.9;27.1;19.9;27.1;25.7;20.3;19.2;70;63;65;160;2;0.6
01/01/2023;1300 UTC;0;1013.1;1013.3;1013.1;1457.6;28.7;20.3;28.7;27.1;20.7;19.2;65;59;61;148;2.3;1.3
01/01/2023;1400 UTC;0;1012.5;1013.1;1012.5;2629.9;29.6;19.5;30;28.6;20.9;18.9;60;53;55;133;4.4;2.4
01/01/2023;1500 UTC;0;1012;1012.5;1012;1993.8;30.7;20.5;30.8;28.8;21.4;19;61;52;54;90;6.1;1.6
01/01/2023;1600 UTC;0;1011.3;1012;1011.3;3083.2;32;19.6;32;30.2;21.6;17.7;57;46;48;60;5.4;2.3
01/01/2023;1700 UTC;0;1010.5;1011.3;1010.5;2711.5;31.2;20.7;32;30.3;21.1;19.3;57;47;54;42;5.6;2.6
01/01/2023;1800 UTC;0;1010.5;1010.7;1010.4;1622.4;29.4;20.8;31.8;29.4;21.6;19.8;60;52;60;230;5.8;1.2
01/01/2023;1900 UTC;0;1010.4;1010.6;1010.3;508.7;27.8;20.5;29.5;27.8;20.7;19.9;65;57;65;34;7.1;3
01/01/2023;2000 UTC;0;1010.8;1010.8;1010.2;315.5;27.3;20;27.8;27.3;20.5;20;66;63;64;63;7.8;2.8
01/01/2023;2100 UTC;0;1011.5;1011.5;1010.8;55.3;26.5;20;27.4;26.4;20.1;19.7;68;63;68;40;7.1;1.7
01/01/2023;2200 UTC;0;1011.4;1011.6;1011.3;;24.6;21;26.5;24.1;21.1;20;83;68;81;280;5.4;0.8
01/01/2023;2300 UTC;0;1012.5;1012.5;1011.4;;24.7;21.2;25.1;24.4;21.4;20.8;83;78;81;240;5.2;1.9
02/01/2023;0000 UTC;0;1013.4;1013.4;1012.5;;24.7;20.7;25.4;24.5;21.3;20.2;82;74;79;195;4.7;1.5
02/01/2023;0100 UTC;0;1014.5;1014.5;1013.4;;24.6;20.9;24.8;24.4;21.1;20.8;81;79;80;235;2.4;1
02/01/2023;0200 UTC;0;1013.6;1014.5;1013.6;;24.3;21;24.6;23.8;21.1;20.8;83;80;82;332;2.5;1.2
02/01/2023;0300 UTC;0;1012.7;1013.6;1012.7;;23.8;20.2;24.3;23.6;20.9;20.2;82;79;80;309;3.6;1.4
02/01/2023;0400 UTC;0;1011.2;1012.7;1011.2;;25.5;17.8;25.5;23.6;20.3;17.8;80;62;62;347;9;3.5
02/01/2023;0500 UTC;0;1008.5;1011.2;1008.5;;25.7;17.6;25.7;25.2;17.9;17.5;63;61;61;8;14.3;6.3
02/01/2023;0600 UTC;0;1009.2;1009.3;1008.4;;25.5;17.1;26.2;25.3;17.6;16.9;61;57;60;59;15.6;3.3
02/01/2023;0700 UTC;0;1010;1010;1009.1;;24;18.1;25.5;24;18.2;17;70;59;70;229;6.3;1.3
02/01/2023;0800 UTC;0;1011;1011;1010;;22.9;18.7;24;22.7;18.8;18.2;78;70;77;304;2.8;1.7
02/01/2023;0900 UTC;0;1011.8;1011.8;1011;54.8;22.4;18.9;23.1;22.2;19.1;18.6;81;76;81;35;3;1.2
02/01/2023;1000 UTC;0;1012.3;1012.3;1011.8;168.4;23.3;18.7;23.3;22.4;18.9;18.6;81;75;75;288;3.8;1.7
02/01/2023;1100 UTC;0;1012.9;1012.9;1012.3;566.3;24.3;19.4;24.5;23.3;19.7;18.7;77;73;74;53;3.8;1.1
02/01/2023;1200 UTC;0;1013;1013;1012.9;1015.7;25.9;18.8;25.9;24.3;19.6;18.7;75;64;65;280;2.6;1
02/01/2023;1300 UTC;0;1012.5;1013;1012.4;2723.3;29.1;17.5;29.5;25.9;20.4;17.5;68;50;50;120;4.8;2.1
02/01/2023;1400 UTC;0;1012;1012.5;1012;3379.3;30;18.3;30.4;28.4;19.9;17.4;56;48;50;111;6.2;3
02/01/2023;1500 UTC;0;1011.3;1012;1011.2;2304.3;27.3;19.5;30;27.3;19.7;17.9;63;50;63;138;7.2;2.7
02/01/2023;1600 UTC;0;1010.8;1011.3;1010.8;1198.4;26.4;21;27.4;26.4;21.5;19.7;72;63;72;222;7.2;4.3
02/01/2023;1700 UTC;0;1010;1010.8;1010;2501;27.7;19.1;28.6;26.3;22.7;19.1;76;59;60;42;8.1;4.1
02/01/2023;1800 UTC;0;1009.7;1010;1009.6;1071.3;25.8;18.7;27.7;25.8;19.5;18.3;65;60;65;58;10.1;4.8
02/01/2023;1900 UTC;1.6;1009.7;1009.8;1009.6;314.4;22.7;19.5;25.8;22.6;19.9;18.1;83;64;82;312;8.5;2.3
02/01/2023;2000 UTC;0.6;1009.3;1009.7;1009.3;321;22.8;20.2;22.8;22.3;20.2;19.3;86;81;85;284;4.4;1.4
02/01/2023;2100 UTC;0;1009.5;1009.6;1009.3;216.3;22.7;20.1;23;22.7;20.3;20;85;85;85;291;3.9;2.2
02/01/2023;2200 UTC;0;1009.8;1009.8;1009.4;50.1;22.3;19.9;22.8;22.1;20.2;19.7;87;85;86;344;5;1.1
02/01/2023;2300 UTC;0;1010.4;1010.4;1009.8;;23.7;18.3;23.8;22.2;20.1;18.3;86;72;72;314;8.2;3.8
03/01/2023;0000 UTC;0;1010.4;1010.5;1010.2;;22.3;18.4;23.7;22;18.8;18.1;81;72;79;297;8.2;3.3
03/01/2023;0100 UTC;0;1011.1;1011.1;1010.4;;22.5;17.7;23.2;21.9;18.6;17.6;81;71;74;305;7;2.6
03/01/2023;0200 UTC;0;1010.6;1011.1;1010.6;;22.1;17.3;24.9;21.5;18;16.4;81;60;74;289;9.7;2.7
03/01/2023;0300 UTC;0;1009.9;1010.6;1009.8;;23.6;17.3;23.6;21.8;17.6;17.1;76;68;68;291;7.6;1.7
03/01/2023;0400 UTC;0;1009.2;1009.8;1009.1;;22;17.7;24.1;22;17.8;17;76;66;76;256;5.2;1.2
03/01/2023;0500 UTC;0;1008.7;1009.3;1008.7;;21.4;17.8;22.2;21.3;18.1;17.7;81;76;80;295;3.4;0.9
03/01/2023;0600 UTC;0;1008.4;1008.8;1008.4;;21.9;17.5;21.9;20.7;18;17.5;82;76;76;300;5.6;3.8
03/01/2023;0700 UTC;0;1008.4;1008.4;1008.3;;21.1;17.3;21.9;20.9;17.5;17.1;79;76;79;299;5.5;2.2
03/01/2023;0800 UTC;0;1008.7;1008.9;1008.3;;20.7;17.3;21.5;20.5;17.5;17;82;77;81;308;5.5;1.8
03/01/2023;0900 UTC;0;1009;1009;1008.7;132;21.8;17.4;21.8;20.3;17.5;17;83;76;76;273;5;1.4
03/01/2023;1000 UTC;0;1009.7;1009.7;1009;703.7;23.6;18.5;23.6;21.7;18.5;17.4;77;73;73;278;4.9;2.1
03/01/2023;1100 UTC;0;1009.6;1009.9;1009.5;1792.1;27.6;18.7;27.6;23.6;19.4;17.7;73;56;58;211;3.6;1
03/01/2023;1200 UTC;0;1009.7;1009.8;1009.6;2560.2;29.3;17.8;29.7;27.2;19.7;17.4;60;49;50;206;3.2;1.5
03/01/2023;1300 UTC;0;1009.6;1009.7;1009.5;2788.3;30.6;18.5;30.7;29.3;19.6;17.1;54;44;48;59;8.5;3.2
03/01/2023;1400 UTC;0;1009.4;1009.7;1009.3;3304.4;31.6;17.4;32.1;30.5;19.3;16.8;49;42;43;360;10.2;3.9
03/01/2023;1500 UTC;0;1008.4;1009.4;1008.4;3741;31.5;18;32.4;31.3;18.7;16.8;47;42;44;39;11.5;4.3
03/01/2023;1600 UTC;0;1007.5;1008.5;1007.5;3195.3;31.9;17.7;32.8;31.4;19.3;17;47;41;43;35;8.6;3.5
03/01/2023;1700 UTC;0;1006.4;1007.5;1006.4;3369;33.1;17.3;33.5;31.6;20;17.2;47;39;39;32;10.2;5.4
03/01/2023;1800 UTC;0;1005.3;1006.4;1005.3;2519.1;32.7;17.6;33.7;32;18.4;16.9;42;38;41;31;10;5.5
03/01/2023;1900 UTC;0;1004.8;1005.4;1004.8;2122.5;33.2;17.6;33.5;32.2;18.7;17;43;38;39;41;10;4.6
03/01/2023;2000 UTC;0;1005.2;1005.2;1004.7;1417.8;30.2;20.1;33.2;30.2;20.1;17.1;55;39;55;44;11;7.3
03/01/2023;2100 UTC;0;1006;1006;1005.2;684.3;28.9;20.4;30.2;28.9;20.7;20.2;60;55;60;42;12.2;5
03/01/2023;2200 UTC;0;1006.7;1006.7;1006;32.3;27.6;20;28.9;27.6;20.4;20;63;60;63;46;9.7;4.5
03/01/2023;2300 UTC;0;1007.7;1007.7;1006.7;;26.9;20.1;27.7;26.9;20.1;20;66;63;66;45;8.8;2.3
04/01/2023;0000 UTC;0;1008.5;1008.5;1007.7;;26.5;20;27;26.4;20.3;20;69;66;68;349;4.7;1.1
04/01/2023;0100 UTC;0;1009.3;1009.3;1008.5;;26.6;20.4;27.2;26.1;20.4;19.8;70;65;69;296;6.4;1.5
04/01/2023;0200 UTC;0;1008.8;1009.3;1008.8;;25.6;20.8;26.6;25.5;20.8;20.3;75;69;75;169;3.8;0.9
04/01/2023;0300 UTC;0;1007.9;1008.8;1007.9;;25.7;20.8;25.8;24.8;20.9;20.7;78;74;74;211;2.4;0.8
04/01/2023;0400 UTC;0;1006.7;1007.9;1006.7;;24.8;20.5;25.7;24.7;20.8;20.4;78;74;77;221;2.8;0.9
04/01/2023;0500 UTC;0;1006.4;1006.7;1006.4;;24.6;20.3;24.8;24.5;20.6;20.3;79;76;77;180;3.6;0.6
04/01/2023;0600 UTC;0;1005.9;1006.4;1005.9;;23.8;20.1;24.7;23.8;20.4;20.1;80;77;80;358;2.6;1.6
04/01/2023;0700 UTC;0;1005.6;1005.9;1005.5;;24.7;20.4;24.8;23.6;20.4;19.9;81;77;77;207;2.7;1
