Data;Hora UTC;PRECIPITAO TOTAL. HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREO HORARIA (gr) ( (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s)
01/01/2023;0000 UTC;0;1007.3;1007.4;1007;;24.6;21.6;24.7;24.6;21.8;21.5;84;83;83;53;12.7;7.8
01/01/2023;0100 UTC;0;1007.2;1007.5;1007.1;;24.4;21.4;24.6;24.4;21.8;21.4;85;83;83;56;11;6.6
01/01/2023;0200 UTC;0;1007;1007.3;1006.9;;24.3;20.9;24.5;24.3;21.4;20.9;83;81;81;54;10.6;7.1
01/01/2023;0300 UTC;0;1006.2;1007;1006.1;;24.2;20.7;24.4;24.2;20.9;20.6;81;80;81;51;9.5;6.8
01/01/2023;0400 UTC;0;1005.8;1006.4;1005.8;;23.9;21;24.2;23.9;21;20.7;84;81;84;50;9;5.5
01/01/2023;0500 UTC;0;1005.2;1005.8;1005.1;;23.5;20.4;23.9;23.5;21;20.3;84;82;82;50;7.9;5.1
01/01/2023;0600 UTC;0;1004.9;1005.2;1004.9;;23.2;20.1;23.5;23.2;20.4;20.1;83;82;83;35;6.9;2.9
01/01/2023;0700 UTC;0;1004.9;1005;1004.9;;23;20.3;23.2;22.9;20.3;19.9;85;82;85;42;6;4.5
01/01/2023;0800 UTC;0;1005.5;1005.5;1004.9;;22.9;19.8;23;22.9;20.4;19.8;85;83;83;15;6;3.7
01/01/2023;0900 UTC;0;1006.2;1006.2;1005.5;121.1;23.3;19.2;23.3;22.8;19.8;19.2;83;77;77;35;4.9;3.6
01/01/2023;1000 UTC;0;1006.9;1006.9;1006.2;398.3;24.2;19.4;24.3;23.3;19.7;19;78;73;74;42;5.4;4.2
01/01/2023;1100 UTC;0;1007;1007.1;1006.8;1134.4;26.1;20;26.2;24.2;20.4;19.3;76;68;69;39;5.6;4
01/01/2023;1200 UTC;0;1007.3;1007.3;1007;988.8;26;20.1;26.5;26;20.1;19.3;70;65;70;40;6.2;2.8
01/01/2023;1300 UTC;0;1007.2;1007.4;1007.2;1757.7;29;19.4;29.1;25.9;20.5;19.2;70;55;56;43;4.4;2.6
01/01/2023;1400 UTC;0;1006.6;1007.2;1006.6;3229.3;30.6;18.9;30.6;29;20.6;18.7;59;50;50;3;6.1;3.5
01/01/2023;1500 UTC;0;1006.1;1006.6;1005.9;3507.5;30.8;20.1;31.1;30.1;20.4;18.4;54;47;53;344;9.4;3.4
01/01/2023;1600 UTC;0;1005.3;1006.1;1005.3;2849.5;30.6;20.6;30.9;30.2;21.2;20;58;53;55;63;9.4;5.3
01/01/2023;1700 UTC;0;1005.2;1005.3;1005;2392.1;27.8;20.6;30.8;27.8;21.4;20.4;65;55;65;55;10.5;7.2
01/01/2023;1800 UTC;0;1004.8;1005.2;1004.1;209.5;25.2;21.8;27.8;25.2;21.8;20.8;82;65;82;56;13.5;7.6
01/01/2023;1900 UTC;0.6;1005.3;1005.3;1004.3;110.1;24.4;22.4;25.1;24.4;22.4;21.7;89;82;89;55;12.4;7.3
01/01/2023;2000 UTC;1.4;1004.8;1005.4;1004.8;73.4;24.1;22.5;24.4;24.1;22.6;22.3;91;89;91;51;12.5;7.9
01/01/2023;2100 UTC;0.6;1005.5;1005.9;1004.7;96.1;24.1;22.4;24.2;24.1;22.5;22.3;91;89;90;72;12.5;3.9
01/01/2023;2200 UTC;0;1006.2;1006.2;1005.4;3.6;24;22.2;24.1;23.9;22.5;22.1;90;89;90;62;10.4;3.7
01/01/2023;2300 UTC;0;1006.8;1006.8;1006.2;0;23.9;21.9;24;23.9;22.1;21.7;90;88;88;41;8.1;4.8
02/01/2023;0000 UTC;0;1007.9;1007.9;1006.8;;24;22.1;24;23.9;22.1;21.8;89;88;89;52;6.5;1.6
02/01/2023;0100 UTC;0;1007.8;1008.1;1007.8;;24.1;22.2;24.1;24;22.2;22.1;89;89;89;27;2.8;2.3
02/01/2023;0200 UTC;0;1006.6;1007.8;1006.3;;23.7;22;24.1;23.7;22.4;22;90;89;90;29;6.8;3.9
02/01/2023;0300 UTC;0;1004.4;1006.6;1004.4;;23.6;22;23.7;23.6;22.1;21.8;91;90;91;41;8.3;6
02/01/2023;0400 UTC;0;1004.5;1005.1;1004.1;;23.5;22;23.7;23.5;22.2;22;92;91;91;113;9;1.5
02/01/2023;0500 UTC;0;1004.1;1004.6;1004.1;;23;21.1;23.5;23;22;21;92;89;89;132;4.9;3.7
02/01/2023;0600 UTC;0;1003.8;1004.1;1003.6;;22.6;20.1;23;22.6;21.1;20.1;90;86;86;105;5.6;1.9
02/01/2023;0700 UTC;0;1004.3;1004.3;1003.8;;22.3;20.2;22.6;22.3;20.3;20;87;86;87;312;3.1;0.4
02/01/2023;0800 UTC;0;1005.1;1005.1;1004.3;;22.3;20.6;22.4;22.2;20.6;20.2;90;87;90;332;3.3;1.5
02/01/2023;0900 UTC;0;1005.8;1005.8;1005.1;142.7;22.9;21.4;22.9;22.3;21.4;20.6;92;90;92;241;3.5;1.6
02/01/2023;1000 UTC;0;1006.4;1006.4;1005.8;562.1;23.7;21.4;24;22.9;22.4;21.4;92;87;87;211;3.3;2.2
02/01/2023;1100 UTC;0;1006.4;1006.7;1006.4;1008;25.1;20.7;25.1;23.7;21.6;20.7;87;76;76;281;3.3;1.2
02/01/2023;1200 UTC;0;1006.5;1006.5;1006.4;2565.2;26.9;21.1;26.9;25.1;21.8;20.3;77;70;70;352;4.2;2.5
02/01/2023;1300 UTC;0;1006.6;1006.6;1006.4;2618.7;28;20.4;28;26.4;21.4;19.6;73;63;64;50;7.4;4.7
02/01/2023;1400 UTC;0;1005.9;1006.6;1005.9;3679;28;21;28.9;27.5;21.4;19.8;68;60;66;52;9.3;5.4
02/01/2023;1500 UTC;0;1005.1;1005.9;1005.1;3802.9;27.8;19.9;28.6;27.6;21.1;19.9;67;60;62;55;12.8;8.5
02/01/2023;1600 UTC;0;1004.7;1005.2;1004.3;3283.4;27.6;19.9;28.2;26.7;20.6;19.4;66;62;63;46;14.1;9.4
02/01/2023;1700 UTC;0;1004;1004.9;1004;515.5;25.1;20;27.6;25;20.7;19.6;74;63;73;56;13.2;8.8
02/01/2023;1800 UTC;0;1002.7;1004.1;1002.5;2737.8;26.5;19.6;26.8;25.1;20.8;19.2;75;65;66;58;15.8;10.3
02/01/2023;1900 UTC;0;1002.4;1002.7;1002.3;2170.1;27;19.9;27.1;26.5;20.1;19.1;67;62;65;54;15.8;9.5
02/01/2023;2000 UTC;0;1001.9;1002.4;1001.8;1288;26.5;18.3;27.1;26.5;20.1;18.2;66;60;61;34;14.1;10.2
02/01/2023;2100 UTC;0;1002.3;1002.3;1001.7;481.6;25.1;17.9;26.5;25.1;18.7;17.6;66;61;65;43;16.7;8.5
02/01/2023;2200 UTC;0;1003.3;1003.3;1002.2;15.9;24.4;18.8;25.1;24.4;18.8;17.9;71;65;71;43;12.2;7.1
02/01/2023;2300 UTC;0;1003.5;1003.5;1003.2;;23.8;19.1;24.4;23.8;19.1;18.7;75;71;75;32;9.8;5.2
03/01/2023;0000 UTC;0;1003.8;1003.8;1003.5;;23.1;19.3;23.8;23.1;19.4;19.1;79;75;79;38;6.8;3
03/01/2023;0100 UTC;0;1004.3;1004.4;1003.8;;22.7;19.1;23.1;22.7;19.2;18.8;80;78;80;30;5.1;2.6
03/01/2023;0200 UTC;0;1004;1004.4;1004;;22.6;18.9;22.7;22.4;19.2;18.9;81;80;80;18;4.6;3.4
03/01/2023;0300 UTC;0;1003.3;1004.1;1003.2;;22.2;18.8;22.6;22.2;19.1;18.8;82;79;81;21;4.6;3.3
03/01/2023;0400 UTC;0;1002.9;1003.3;1002.9;;22;19.1;22.2;21.9;19.2;18.4;84;79;84;22;4.4;3.1
03/01/2023;0500 UTC;0;1002.6;1002.9;1002.5;;21.7;19.5;22.1;21.7;19.5;19;87;83;87;30;6.1;3
03/01/2023;0600 UTC;0;1002.1;1002.6;1002.1;;21.3;19.6;21.7;21.3;19.6;19.3;90;87;90;37;4.6;4
03/01/2023;0700 UTC;0;1002;1002.2;1001.9;;21.1;19;21.4;21.1;19.6;19;90;88;88;41;5.4;4.1
03/01/2023;0800 UTC;0;1002.5;1002.6;1002;;21;18.4;21.2;21;19;18.1;88;83;85;35;5.5;2.8
03/01/2023;0900 UTC;0;1002.8;1002.8;1002.5;174.9;21.8;18.4;21.8;21;18.7;18;85;79;81;47;4.1;2.8
03/01/2023;1000 UTC;0;1003.7;1003.7;1002.7;709.6;23.7;18.4;23.7;21.8;18.9;18.2;82;72;72;54;5.1;4
03/01/2023;1100 UTC;0;1003.8;1003.9;1003.7;1356.3;25.9;17.5;25.9;23.7;19;17.3;73;59;60;57;4.9;3
03/01/2023;1200 UTC;0;1004.3;1004.3;1003.8;2519.7;27.4;18.3;28.6;25.9;18.8;17.3;61;53;58;2;7.2;4.2
03/01/2023;1300 UTC;0;1004;1004.4;1003.9;2382.2;29.1;18.9;29.3;26.9;19.3;17.9;60;51;54;3;7.7;5
03/01/2023;1400 UTC;0;1003.5;1004;1003.4;3510.2;31;18.6;31;29.1;19.1;17.8;54;46;48;48;8.6;5.1
03/01/2023;1500 UTC;0;1002.6;1003.5;1002.6;3817.8;31.7;19.9;31.9;30.6;19.9;18.1;50;45;50;76;8.7;3.4
03/01/2023;1600 UTC;0;1001.7;1002.6;1001.7;3563.8;30.9;19.7;31.9;30.8;20.6;19.1;53;47;52;59;9.9;5.5
03/01/2023;1700 UTC;0;1000.9;1001.7;1000.9;3397.3;30.4;20;31.4;30.4;20.7;19.8;55;51;54;55;10.3;7.2
03/01/2023;1800 UTC;0;1000.1;1000.9;1000;2881.3;29.9;21.3;31;29.4;21.5;20;62;54;60;55;12;7.7
03/01/2023;1900 UTC;0;999;1000.1;999;2104.4;27.5;21;29.9;27.5;21.2;20.8;68;59;68;53;17.4;11.4
03/01/2023;2000 UTC;0;999.7;999.7;999;1254.3;26.8;21.5;27.4;26.7;21.5;21;73;68;73;60;17.4;8.1
03/01/2023;2100 UTC;0;1000.1;1000.1;999.6;484;25.9;21.3;26.8;25.9;21.5;21.3;76;73;76;56;12.5;5.2
03/01/2023;2200 UTC;0;1000.3;1000.3;999.8;11;25.1;20.8;25.9;25.1;21.3;20.8;77;76;77;54;9.6;5.3
03/01/2023;2300 UTC;0;1001.4;1001.4;1000.3;;25.2;20.9;25.2;25.1;21.1;20.8;78;77;77;49;7.5;3.8
04/01/2023;0000 UTC;0;1003;1003;1001.4;;25.3;21.6;25.6;25.2;21.6;20.8;80;75;80;236;5.5;2
04/01/2023;0100 UTC;0;1003.3;1003.3;1003;;25.4;22;25.6;25.3;22.1;21.6;82;80;82;190;5.3;3.5
04/01/2023;0200 UTC;0;1002.5;1003.3;1002.5;;24.7;21.8;25.3;24.7;22.1;21.4;84;82;84;156;5.3;2
04/01/2023;0300 UTC;0;1001.3;1002.4;1001.3;;24.6;22.2;24.8;24.6;22.3;21.8;87;83;86;75;3.3;1.7
04/01/2023;0400 UTC;0;1000.3;1001.3;1000.3;;24.1;22.1;24.7;24.1;22.2;21.4;88;83;88;40;4.9;2.8
04/01/2023;0500 UTC;0;1000.1;1000.3;1000.1;;23.9;21.9;24.1;23.9;22.1;21.7;89;87;89;217;3.5;1.5
