Data;Hora UTC;PRECIPITAO TOTAL. HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREO HORARIA (gr) ( (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s)
01/01/2023;0000 UTC;0.2;936.4;936.4;935.6;;20.6;19.1;21.7;20.6;20;19.1;91;90;91;230;1.7;0.7
01/01/2023;0100 UTC;0;936.1;936.4;936.1;;20.3;18.8;20.8;20.3;19.3;18.8;92;91;91;37;2.7;0.4
01/01/2023;0200 UTC;0;936;936.1;936;;21;17.7;21.9;19.8;19.1;17.7;91;79;81;55;7.4;1.1
01/01/2023;0300 UTC;0;935.4;936.1;935.4;;21.6;17.1;21.7;20.4;17.7;17.1;84;76;76;71;5.8;2.1
01/01/2023;0400 UTC;0;935.3;935.4;935.2;;20.1;16.6;21.6;20.1;17.5;16.3;85;74;81;207;5.5;0.8
01/01/2023;0500 UTC;0;934.6;935.3;934.6;;20.3;17.3;20.8;19.7;17.3;16.6;85;77;83;19;3.5;0.8
01/01/2023;0600 UTC;0;934.3;934.6;934.3;;19.6;15.8;20.5;19.5;17.3;15.6;83;75;79;52;4.1;1.1
01/01/2023;0700 UTC;0;934.3;934.4;934.3;;18.8;16;20.2;18.6;16.1;15.3;84;74;84;351;4.8;0.6
01/01/2023;0800 UTC;0;934.4;934.5;934.3;;19.7;16.1;20.4;18.6;16.2;15.7;85;75;80;90;6.2;0.9
01/01/2023;0900 UTC;0;935.2;935.2;934.4;49.6;20.3;16.5;20.8;19.3;16.5;15.9;82;75;79;28;6.2;0.7
01/01/2023;1000 UTC;0;935.8;935.9;935.2;261.8;20.7;16.9;21.3;20.2;17.1;15.7;80;70;79;287;4.4;0.5
01/01/2023;1100 UTC;0;936.1;936.1;935.8;547.2;21.8;16.8;21.8;20.7;17.5;16;81;70;73;356;5;1.6
01/01/2023;1200 UTC;0;936.5;936.6;936.1;644.4;22.3;16.6;22.4;21.4;17.1;16.6;75;70;70;17;4.6;1.1
01/01/2023;1300 UTC;0;936.4;936.6;936.4;1093.1;22.7;16.4;22.7;22.3;17;16;71;67;67;73;6.2;3.5
01/01/2023;1400 UTC;0;935.9;936.4;935.9;911.5;23.2;16.2;23.2;22.3;16.6;15.6;69;64;65;69;6.6;2.3
01/01/2023;1500 UTC;0;935.7;935.9;935.7;2853.7;25.3;15.9;25.4;23.2;17.3;15.6;68;56;56;18;5;1.6
