Data;Hora UTC;PRECIPITAO TOTAL. HORRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MNIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREO HORARIA (gr) ( (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s)
01/01/2023;0000 UTC;0;958.8;958.8;957.6;;24;18.6;24.3;23.6;18.7;18.4;74;70;72;36;4.1;2
01/01/2023;0100 UTC;0;959.1;959.1;958.8;;23.4;18.8;24;23.4;18.8;18.4;75;71;75;33;4.8;3.3
01/01/2023;0200 UTC;0;959;959.2;959;;22.8;17.9;23.4;22.7;18.9;17.9;77;74;74;35;8.2;4.7
01/01/2023;0300 UTC;0;958.9;959.1;958.8;;22.3;17.6;22.8;22.2;18.2;17.6;76;74;75;41;8.2;3
01/01/2023;0400 UTC;0;958.3;958.9;958.2;;21.7;17;22.4;21.7;17.6;17;76;73;75;42;6.8;2.5
01/01/2023;0500 UTC;0;957.7;958.4;957.7;;21.3;17;21.8;21.2;17.1;16.8;77;73;77;59;4.4;1.6
01/01/2023;0600 UTC;0;957.3;957.7;957.2;;21;17.3;21.4;20.9;17.4;17;80;76;79;288;3.2;0.4
01/01/2023;0700 UTC;0;957.4;957.4;957.2;;20.6;17.7;21;20.5;17.8;17.2;84;79;84;206;2;0.8
01/01/2023;0800 UTC;0;957.6;957.6;957.2;;20.6;17.7;20.8;20.4;17.9;17.5;85;82;84;165;2.2;0.9
01/01/2023;0900 UTC;0;958.1;958.3;957.5;30.6;20.5;18.3;20.6;20.2;18.4;17.7;88;84;87;248;1.8;0.9
